KEY,state,year,month,period,indicator,data_value,state_name,Date,unemployment_rate
Rhode IslandJanuary2018,RI,2018,January,12 month-ending,Heroin (T40.1),12,Rhode Island,1/1/2018,4.3
Rhode IslandAugust2017,RI,2017,August,12 month-ending,Heroin (T40.1),12,Rhode Island,8/1/2017,4.4
Rhode IslandDecember2017,RI,2017,December,12 month-ending,Heroin (T40.1),12,Rhode Island,12/1/2017,4.4
Rhode IslandSeptember2017,RI,2017,September,12 month-ending,Heroin (T40.1),12,Rhode Island,9/1/2017,4.4
HawaiiApril2018,HI,2018,April,12 month-ending,Heroin (T40.1),13,Hawaii,4/1/2018,2.3
Rhode IslandAugust2018,RI,2018,August,12 month-ending,Heroin (T40.1),13,Rhode Island,8/1/2018,3.8
Rhode IslandSeptember2018,RI,2018,September,12 month-ending,Heroin (T40.1),13,Rhode Island,9/1/2018,3.8
Rhode IslandOctober2017,RI,2017,October,12 month-ending,Heroin (T40.1),13,Rhode Island,10/1/2017,4.4
HawaiiJuly2018,HI,2018,July,12 month-ending,Heroin (T40.1),14,Hawaii,7/1/2018,2.5
New HampshireApril2018,NH,2018,April,12 month-ending,Heroin (T40.1),14,New Hampshire,4/1/2018,2.6
HawaiiAugust2018,HI,2018,August,12 month-ending,Heroin (T40.1),14,Hawaii,8/1/2018,2.6
New HampshireMay2018,NH,2018,May,12 month-ending,Heroin (T40.1),14,New Hampshire,5/1/2018,2.6
Rhode IslandJuly2017,RI,2017,July,12 month-ending,Heroin (T40.1),14,Rhode Island,7/1/2017,4.4
HawaiiApril2017,HI,2017,April,12 month-ending,Heroin (T40.1),15,Hawaii,4/1/2017,2.6
HawaiiMarch2017,HI,2017,March,12 month-ending,Heroin (T40.1),15,Hawaii,3/1/2017,2.6
HawaiiOctober2018,HI,2018,October,12 month-ending,Heroin (T40.1),15,Hawaii,10/1/2018,2.7
HawaiiSeptember2018,HI,2018,September,12 month-ending,Heroin (T40.1),15,Hawaii,9/1/2018,2.7
HawaiiDecember2018,HI,2018,December,12 month-ending,Heroin (T40.1),15,Hawaii,12/1/2018,2.8
Rhode IslandOctober2018,RI,2018,October,12 month-ending,Heroin (T40.1),15,Rhode Island,10/1/2018,3.8
Rhode IslandJune2017,RI,2017,June,12 month-ending,Heroin (T40.1),16,Rhode Island,6/1/2017,4.4
HawaiiMay2017,HI,2017,May,12 month-ending,Heroin (T40.1),17,Hawaii,5/1/2017,2.5
New HampshireMarch2018,NH,2018,March,12 month-ending,Heroin (T40.1),17,New Hampshire,3/1/2018,2.7
HawaiiNovember2018,HI,2018,November,12 month-ending,Heroin (T40.1),17,Hawaii,11/1/2018,2.8
HawaiiMay2016,HI,2016,May,12 month-ending,Heroin (T40.1),17,Hawaii,5/1/2016,3
HawaiiJanuary2019,HI,2019,January,12 month-ending,Heroin (T40.1),18,Hawaii,1/1/2019,2.8
HawaiiJune2016,HI,2016,June,12 month-ending,Heroin (T40.1),18,Hawaii,6/1/2016,3
Rhode IslandNovember2018,RI,2018,November,12 month-ending,Heroin (T40.1),18,Rhode Island,11/1/2018,3.8
Rhode IslandMay2017,RI,2017,May,12 month-ending,Heroin (T40.1),18,Rhode Island,5/1/2017,4.4
HawaiiApril2016,HI,2016,April,12 month-ending,Heroin (T40.1),19,Hawaii,4/1/2016,3
HawaiiMarch2016,HI,2016,March,12 month-ending,Heroin (T40.1),19,Hawaii,3/1/2016,3
Rhode IslandMarch2017,RI,2017,March,12 month-ending,Heroin (T40.1),19,Rhode Island,3/1/2017,4.4
HawaiiJanuary2017,HI,2017,January,12 month-ending,Heroin (T40.1),20,Hawaii,1/1/2017,2.7
HawaiiDecember2016,HI,2016,December,12 month-ending,Heroin (T40.1),20,Hawaii,12/1/2016,2.8
HawaiiJuly2016,HI,2016,July,12 month-ending,Heroin (T40.1),20,Hawaii,7/1/2016,3
Rhode IslandDecember2018,RI,2018,December,12 month-ending,Heroin (T40.1),20,Rhode Island,12/1/2018,3.7
Rhode IslandJanuary2019,RI,2019,January,12 month-ending,Heroin (T40.1),20,Rhode Island,1/1/2019,3.7
Rhode IslandApril2017,RI,2017,April,12 month-ending,Heroin (T40.1),20,Rhode Island,4/1/2017,4.4
HawaiiNovember2016,HI,2016,November,12 month-ending,Heroin (T40.1),22,Hawaii,11/1/2016,2.8
HawaiiSeptember2016,HI,2016,September,12 month-ending,Heroin (T40.1),22,Hawaii,9/1/2016,2.9
New HampshireJanuary2018,NH,2018,January,12 month-ending,Heroin (T40.1),23,New Hampshire,1/1/2018,2.7
HawaiiOctober2016,HI,2016,October,12 month-ending,Heroin (T40.1),23,Hawaii,10/1/2016,2.9
OklahomaSeptember2015,OK,2015,September,12 month-ending,Heroin (T40.1),23,Oklahoma,9/1/2015,4.4
Rhode IslandJanuary2017,RI,2017,January,12 month-ending,Heroin (T40.1),23,Rhode Island,1/1/2017,4.5
New HampshireDecember2017,NH,2017,December,12 month-ending,Heroin (T40.1),24,New Hampshire,12/1/2017,2.7
New HampshireJanuary2017,NH,2017,January,12 month-ending,Heroin (T40.1),24,New Hampshire,1/1/2017,2.8
HawaiiAugust2016,HI,2016,August,12 month-ending,Heroin (T40.1),24,Hawaii,8/1/2016,2.9
OklahomaOctober2015,OK,2015,October,12 month-ending,Heroin (T40.1),24,Oklahoma,10/1/2015,4.5
AlaskaOctober2018,AK,2018,October,12 month-ending,Heroin (T40.1),24,Alaska,10/1/2018,6.3
AlaskaSeptember2018,AK,2018,September,12 month-ending,Heroin (T40.1),24,Alaska,9/1/2018,6.3
AlaskaAugust2018,AK,2018,August,12 month-ending,Heroin (T40.1),24,Alaska,8/1/2018,6.4
OklahomaAugust2015,OK,2015,August,12 month-ending,Heroin (T40.1),25,Oklahoma,8/1/2015,4.4
Rhode IslandDecember2016,RI,2016,December,12 month-ending,Heroin (T40.1),25,Rhode Island,12/1/2016,4.7
New HampshireDecember2016,NH,2016,December,12 month-ending,Heroin (T40.1),26,New Hampshire,12/1/2016,2.8
New HampshireMarch2017,NH,2017,March,12 month-ending,Heroin (T40.1),26,New Hampshire,3/1/2017,2.8
New HampshireNovember2016,NH,2016,November,12 month-ending,Heroin (T40.1),26,New Hampshire,11/1/2016,2.8
OklahomaJuly2015,OK,2015,July,12 month-ending,Heroin (T40.1),26,Oklahoma,7/1/2015,4.5
OklahomaJune2015,OK,2015,June,12 month-ending,Heroin (T40.1),26,Oklahoma,6/1/2015,4.5
AlaskaJuly2018,AK,2018,July,12 month-ending,Heroin (T40.1),26,Alaska,7/1/2018,6.4
New HampshireApril2017,NH,2017,April,12 month-ending,Heroin (T40.1),27,New Hampshire,4/1/2017,2.7
New HampshireMay2017,NH,2017,May,12 month-ending,Heroin (T40.1),27,New Hampshire,5/1/2017,2.7
New HampshireNovember2017,NH,2017,November,12 month-ending,Heroin (T40.1),27,New Hampshire,11/1/2017,2.7
New HampshireSeptember2017,NH,2017,September,12 month-ending,Heroin (T40.1),27,New Hampshire,9/1/2017,2.7
OklahomaJanuary2015,OK,2015,January,12 month-ending,Heroin (T40.1),27,Oklahoma,1/1/2015,4.2
OklahomaMay2015,OK,2015,May,12 month-ending,Heroin (T40.1),27,Oklahoma,5/1/2015,4.4
AlaskaJanuary2019,AK,2019,January,12 month-ending,Heroin (T40.1),27,Alaska,1/1/2019,6.1
New HampshireAugust2017,NH,2017,August,12 month-ending,Heroin (T40.1),28,New Hampshire,8/1/2017,2.7
New HampshireJune2017,NH,2017,June,12 month-ending,Heroin (T40.1),28,New Hampshire,6/1/2017,2.7
New HampshireOctober2017,NH,2017,October,12 month-ending,Heroin (T40.1),28,New Hampshire,10/1/2017,2.7
OklahomaMarch2015,OK,2015,March,12 month-ending,Heroin (T40.1),28,Oklahoma,3/1/2015,4.3
OklahomaNovember2015,OK,2015,November,12 month-ending,Heroin (T40.1),28,Oklahoma,11/1/2015,4.5
Rhode IslandNovember2016,RI,2016,November,12 month-ending,Heroin (T40.1),28,Rhode Island,11/1/2016,4.8
AlaskaDecember2018,AK,2018,December,12 month-ending,Heroin (T40.1),28,Alaska,12/1/2018,6.2
AlaskaNovember2018,AK,2018,November,12 month-ending,Heroin (T40.1),28,Alaska,11/1/2018,6.2
New HampshireJuly2017,NH,2017,July,12 month-ending,Heroin (T40.1),29,New Hampshire,7/1/2017,2.7
New HampshireOctober2016,NH,2016,October,12 month-ending,Heroin (T40.1),29,New Hampshire,10/1/2016,2.8
VermontMarch2015,VT,2015,March,12 month-ending,Heroin (T40.1),29,Vermont,3/1/2015,3.7
OklahomaApril2015,OK,2015,April,12 month-ending,Heroin (T40.1),29,Oklahoma,4/1/2015,4.4
Rhode IslandOctober2016,RI,2016,October,12 month-ending,Heroin (T40.1),29,Rhode Island,10/1/2016,4.9
VermontDecember2015,VT,2015,December,12 month-ending,Heroin (T40.1),31,Vermont,12/1/2015,3.4
VermontOctober2015,VT,2015,October,12 month-ending,Heroin (T40.1),31,Vermont,10/1/2015,3.4
VermontApril2015,VT,2015,April,12 month-ending,Heroin (T40.1),31,Vermont,4/1/2015,3.6
VermontJune2015,VT,2015,June,12 month-ending,Heroin (T40.1),31,Vermont,6/1/2015,3.6
VermontJanuary2015,VT,2015,January,12 month-ending,Heroin (T40.1),31,Vermont,1/1/2015,3.8
AlaskaJune2018,AK,2018,June,12 month-ending,Heroin (T40.1),31,Alaska,6/1/2018,6.5
VermontJanuary2016,VT,2016,January,12 month-ending,Heroin (T40.1),32,Vermont,1/1/2016,3.3
VermontNovember2015,VT,2015,November,12 month-ending,Heroin (T40.1),32,Vermont,11/1/2015,3.4
VermontMay2015,VT,2015,May,12 month-ending,Heroin (T40.1),32,Vermont,5/1/2015,3.6
IowaApril2015,IA,2015,April,12 month-ending,Heroin (T40.1),32,Iowa,4/1/2015,3.8
OklahomaDecember2015,OK,2015,December,12 month-ending,Heroin (T40.1),32,Oklahoma,12/1/2015,4.5
Rhode IslandSeptember2016,RI,2016,September,12 month-ending,Heroin (T40.1),32,Rhode Island,9/1/2016,5.1
VermontJuly2015,VT,2015,July,12 month-ending,Heroin (T40.1),33,Vermont,7/1/2015,3.5
IowaJuly2015,IA,2015,July,12 month-ending,Heroin (T40.1),33,Iowa,7/1/2015,3.7
AlaskaMay2018,AK,2018,May,12 month-ending,Heroin (T40.1),33,Alaska,5/1/2018,6.5
IowaJune2015,IA,2015,June,12 month-ending,Heroin (T40.1),34,Iowa,6/1/2015,3.7
OklahomaJanuary2016,OK,2016,January,12 month-ending,Heroin (T40.1),34,Oklahoma,1/1/2016,4.6
OklahomaMarch2016,OK,2016,March,12 month-ending,Heroin (T40.1),34,Oklahoma,3/1/2016,4.7
AlaskaNovember2015,AK,2015,November,12 month-ending,Heroin (T40.1),34,Alaska,11/1/2015,6.6
VermontMarch2016,VT,2016,March,12 month-ending,Heroin (T40.1),35,Vermont,3/1/2016,3.3
VermontAugust2015,VT,2015,August,12 month-ending,Heroin (T40.1),35,Vermont,8/1/2015,3.5
VermontSeptember2015,VT,2015,September,12 month-ending,Heroin (T40.1),35,Vermont,9/1/2015,3.5
IowaAugust2016,IA,2016,August,12 month-ending,Heroin (T40.1),35,Iowa,8/1/2016,3.7
IowaMay2015,IA,2015,May,12 month-ending,Heroin (T40.1),35,Iowa,5/1/2015,3.8
IowaJanuary2015,IA,2015,January,12 month-ending,Heroin (T40.1),35,Iowa,1/1/2015,3.9
Rhode IslandAugust2016,RI,2016,August,12 month-ending,Heroin (T40.1),35,Rhode Island,8/1/2016,5.2
Rhode IslandJuly2016,RI,2016,July,12 month-ending,Heroin (T40.1),35,Rhode Island,7/1/2016,5.3
AlaskaMarch2018,AK,2018,March,12 month-ending,Heroin (T40.1),35,Alaska,3/1/2018,6.6
AlaskaJanuary2016,AK,2016,January,12 month-ending,Heroin (T40.1),35,Alaska,1/1/2016,6.7
IowaDecember2018,IA,2018,December,12 month-ending,Heroin (T40.1),36,Iowa,12/1/2018,2.6
VermontApril2016,VT,2016,April,12 month-ending,Heroin (T40.1),36,Vermont,4/1/2016,3.3
IowaAugust2015,IA,2015,August,12 month-ending,Heroin (T40.1),36,Iowa,8/1/2015,3.7
IowaSeptember2015,IA,2015,September,12 month-ending,Heroin (T40.1),36,Iowa,9/1/2015,3.7
IowaMarch2015,IA,2015,March,12 month-ending,Heroin (T40.1),36,Iowa,3/1/2015,3.8
AlaskaApril2018,AK,2018,April,12 month-ending,Heroin (T40.1),36,Alaska,4/1/2018,6.6
AlaskaJanuary2018,AK,2018,January,12 month-ending,Heroin (T40.1),36,Alaska,1/1/2018,6.7
AlaskaDecember2017,AK,2017,December,12 month-ending,Heroin (T40.1),36,Alaska,12/1/2017,6.8
IowaJanuary2019,IA,2019,January,12 month-ending,Heroin (T40.1),37,Iowa,1/1/2019,2.7
VermontJuly2016,VT,2016,July,12 month-ending,Heroin (T40.1),37,Vermont,7/1/2016,3.2
IowaOctober2016,IA,2016,October,12 month-ending,Heroin (T40.1),37,Iowa,10/1/2016,3.6
IowaSeptember2016,IA,2016,September,12 month-ending,Heroin (T40.1),37,Iowa,9/1/2016,3.6
AlaskaSeptember2016,AK,2016,September,12 month-ending,Heroin (T40.1),37,Alaska,9/1/2016,6.9
VermontJune2016,VT,2016,June,12 month-ending,Heroin (T40.1),38,Vermont,6/1/2016,3.2
VermontMay2016,VT,2016,May,12 month-ending,Heroin (T40.1),38,Vermont,5/1/2016,3.3
IowaJuly2016,IA,2016,July,12 month-ending,Heroin (T40.1),38,Iowa,7/1/2016,3.7
IowaJune2016,IA,2016,June,12 month-ending,Heroin (T40.1),38,Iowa,6/1/2016,3.7
OklahomaApril2016,OK,2016,April,12 month-ending,Heroin (T40.1),38,Oklahoma,4/1/2016,4.8
MaineJanuary2015,ME,2015,January,12 month-ending,Heroin (T40.1),38,Maine,1/1/2015,5
Rhode IslandJune2016,RI,2016,June,12 month-ending,Heroin (T40.1),38,Rhode Island,6/1/2016,5.3
AlaskaMarch2016,AK,2016,March,12 month-ending,Heroin (T40.1),38,Alaska,3/1/2016,6.8
AlaskaNovember2017,AK,2017,November,12 month-ending,Heroin (T40.1),38,Alaska,11/1/2017,6.8
AlaskaOctober2016,AK,2016,October,12 month-ending,Heroin (T40.1),38,Alaska,10/1/2016,6.9
VermontOctober2017,VT,2017,October,12 month-ending,Heroin (T40.1),39,Vermont,10/1/2017,2.8
New HampshireSeptember2016,NH,2016,September,12 month-ending,Heroin (T40.1),39,New Hampshire,9/1/2016,2.8
AlaskaOctober2015,AK,2015,October,12 month-ending,Heroin (T40.1),39,Alaska,10/1/2015,6.6
AlaskaAugust2016,AK,2016,August,12 month-ending,Heroin (T40.1),39,Alaska,8/1/2016,6.9
VermontDecember2017,VT,2017,December,12 month-ending,Heroin (T40.1),40,Vermont,12/1/2017,2.7
VermontJanuary2018,VT,2018,January,12 month-ending,Heroin (T40.1),40,Vermont,1/1/2018,2.7
VermontAugust2016,VT,2016,August,12 month-ending,Heroin (T40.1),40,Vermont,8/1/2016,3.2
IowaJanuary2016,IA,2016,January,12 month-ending,Heroin (T40.1),40,Iowa,1/1/2016,3.7
IowaOctober2015,IA,2015,October,12 month-ending,Heroin (T40.1),40,Iowa,10/1/2015,3.7
Rhode IslandApril2016,RI,2016,April,12 month-ending,Heroin (T40.1),40,Rhode Island,4/1/2016,5.4
Rhode IslandMay2016,RI,2016,May,12 month-ending,Heroin (T40.1),40,Rhode Island,5/1/2016,5.4
AlaskaApril2016,AK,2016,April,12 month-ending,Heroin (T40.1),40,Alaska,4/1/2016,6.8
AlaskaJune2016,AK,2016,June,12 month-ending,Heroin (T40.1),40,Alaska,6/1/2016,6.9
AlaskaMay2017,AK,2017,May,12 month-ending,Heroin (T40.1),40,Alaska,5/1/2017,6.9
IowaMay2016,IA,2016,May,12 month-ending,Heroin (T40.1),41,Iowa,5/1/2016,3.7
Rhode IslandMarch2016,RI,2016,March,12 month-ending,Heroin (T40.1),41,Rhode Island,3/1/2016,5.4
VermontApril2018,VT,2018,April,12 month-ending,Heroin (T40.1),42,Vermont,4/1/2018,2.6
VermontMarch2018,VT,2018,March,12 month-ending,Heroin (T40.1),42,Vermont,3/1/2018,2.7
IowaNovember2016,IA,2016,November,12 month-ending,Heroin (T40.1),42,Iowa,11/1/2016,3.5
IowaNovember2015,IA,2015,November,12 month-ending,Heroin (T40.1),42,Iowa,11/1/2015,3.7
MaineMarch2015,ME,2015,March,12 month-ending,Heroin (T40.1),42,Maine,3/1/2015,4.7
AlaskaJuly2016,AK,2016,July,12 month-ending,Heroin (T40.1),42,Alaska,7/1/2016,6.9
AlaskaJune2017,AK,2017,June,12 month-ending,Heroin (T40.1),42,Alaska,6/1/2017,6.9
VermontNovember2017,VT,2017,November,12 month-ending,Heroin (T40.1),43,Vermont,11/1/2017,2.8
IowaDecember2015,IA,2015,December,12 month-ending,Heroin (T40.1),43,Iowa,12/1/2015,3.7
AlaskaApril2017,AK,2017,April,12 month-ending,Heroin (T40.1),43,Alaska,4/1/2017,6.9
VermontSeptember2017,VT,2017,September,12 month-ending,Heroin (T40.1),44,Vermont,9/1/2017,2.9
VermontSeptember2016,VT,2016,September,12 month-ending,Heroin (T40.1),44,Vermont,9/1/2016,3.2
IowaDecember2016,IA,2016,December,12 month-ending,Heroin (T40.1),44,Iowa,12/1/2016,3.5
MaineJune2015,ME,2015,June,12 month-ending,Heroin (T40.1),44,Maine,6/1/2015,4.4
OklahomaJune2016,OK,2016,June,12 month-ending,Heroin (T40.1),44,Oklahoma,6/1/2016,4.9
AlaskaJuly2017,AK,2017,July,12 month-ending,Heroin (T40.1),44,Alaska,7/1/2017,6.9
AlaskaMay2016,AK,2016,May,12 month-ending,Heroin (T40.1),44,Alaska,5/1/2016,6.9
IowaNovember2018,IA,2018,November,12 month-ending,Heroin (T40.1),45,Iowa,11/1/2018,2.6
MaineMay2015,ME,2015,May,12 month-ending,Heroin (T40.1),45,Maine,5/1/2015,4.5
OklahomaMay2016,OK,2016,May,12 month-ending,Heroin (T40.1),45,Oklahoma,5/1/2016,4.9
AlaskaNovember2016,AK,2016,November,12 month-ending,Heroin (T40.1),45,Alaska,11/1/2016,6.9
VermontMay2018,VT,2018,May,12 month-ending,Heroin (T40.1),46,Vermont,5/1/2018,2.6
MaineApril2015,ME,2015,April,12 month-ending,Heroin (T40.1),46,Maine,4/1/2015,4.6
OklahomaJuly2016,OK,2016,July,12 month-ending,Heroin (T40.1),46,Oklahoma,7/1/2016,4.9
AlaskaAugust2017,AK,2017,August,12 month-ending,Heroin (T40.1),46,Alaska,8/1/2017,6.9
AlaskaOctober2017,AK,2017,October,12 month-ending,Heroin (T40.1),46,Alaska,10/1/2017,6.9
AlaskaSeptember2017,AK,2017,September,12 month-ending,Heroin (T40.1),46,Alaska,9/1/2017,6.9
VermontJune2018,VT,2018,June,12 month-ending,Heroin (T40.1),47,Vermont,6/1/2018,2.6
OklahomaAugust2016,OK,2016,August,12 month-ending,Heroin (T40.1),47,Oklahoma,8/1/2016,4.9
Rhode IslandJanuary2016,RI,2016,January,12 month-ending,Heroin (T40.1),47,Rhode Island,1/1/2016,5.4
AlaskaMarch2017,AK,2017,March,12 month-ending,Heroin (T40.1),47,Alaska,3/1/2017,6.9
IowaOctober2018,IA,2018,October,12 month-ending,Heroin (T40.1),48,Iowa,10/1/2018,2.5
New HampshireAugust2016,NH,2016,August,12 month-ending,Heroin (T40.1),48,New Hampshire,8/1/2016,2.9
VermontAugust2017,VT,2017,August,12 month-ending,Heroin (T40.1),48,Vermont,8/1/2017,2.9
New HampshireJuly2016,NH,2016,July,12 month-ending,Heroin (T40.1),48,New Hampshire,7/1/2016,2.9
VermontNovember2016,VT,2016,November,12 month-ending,Heroin (T40.1),48,Vermont,11/1/2016,3.1
MaineAugust2015,ME,2015,August,12 month-ending,Heroin (T40.1),48,Maine,8/1/2015,4.2
MaineJuly2015,ME,2015,July,12 month-ending,Heroin (T40.1),48,Maine,7/1/2015,4.3
OklahomaDecember2016,OK,2016,December,12 month-ending,Heroin (T40.1),48,Oklahoma,12/1/2016,4.7
VermontOctober2016,VT,2016,October,12 month-ending,Heroin (T40.1),49,Vermont,10/1/2016,3.1
MaineJanuary2016,ME,2016,January,12 month-ending,Heroin (T40.1),49,Maine,1/1/2016,3.9
MaineMarch2016,ME,2016,March,12 month-ending,Heroin (T40.1),49,Maine,3/1/2016,3.9
MaineSeptember2015,ME,2015,September,12 month-ending,Heroin (T40.1),49,Maine,9/1/2015,4.1
AlaskaDecember2016,AK,2016,December,12 month-ending,Heroin (T40.1),49,Alaska,12/1/2016,6.9
District of ColumbiaMarch2015,DC,2015,March,12 month-ending,Heroin (T40.1),49,District of Columbia,3/1/2015,7.2
IowaAugust2018,IA,2018,August,12 month-ending,Heroin (T40.1),50,Iowa,8/1/2018,2.5
VermontMay2017,VT,2017,May,12 month-ending,Heroin (T40.1),50,Vermont,5/1/2017,3
VermontDecember2016,VT,2016,December,12 month-ending,Heroin (T40.1),50,Vermont,12/1/2016,3.1
MaineApril2016,ME,2016,April,12 month-ending,Heroin (T40.1),50,Maine,4/1/2016,3.8
OklahomaSeptember2016,OK,2016,September,12 month-ending,Heroin (T40.1),50,Oklahoma,9/1/2016,4.9
AlaskaJanuary2017,AK,2017,January,12 month-ending,Heroin (T40.1),50,Alaska,1/1/2017,6.9
District of ColumbiaJanuary2015,DC,2015,January,12 month-ending,Heroin (T40.1),50,District of Columbia,1/1/2015,7.4
VermontJuly2018,VT,2018,July,12 month-ending,Heroin (T40.1),51,Vermont,7/1/2018,2.5
New HampshireJune2016,NH,2016,June,12 month-ending,Heroin (T40.1),51,New Hampshire,6/1/2016,2.9
VermontJanuary2017,VT,2017,January,12 month-ending,Heroin (T40.1),51,Vermont,1/1/2017,3.1
IowaApril2017,IA,2017,April,12 month-ending,Heroin (T40.1),51,Iowa,4/1/2017,3.2
MaineOctober2016,ME,2016,October,12 month-ending,Heroin (T40.1),51,Maine,10/1/2016,3.7
MaineOctober2015,ME,2015,October,12 month-ending,Heroin (T40.1),51,Maine,10/1/2015,4
OklahomaJanuary2017,OK,2017,January,12 month-ending,Heroin (T40.1),51,Oklahoma,1/1/2017,4.6
OklahomaNovember2016,OK,2016,November,12 month-ending,Heroin (T40.1),51,Oklahoma,11/1/2016,4.8
Rhode IslandDecember2015,RI,2015,December,12 month-ending,Heroin (T40.1),51,Rhode Island,12/1/2015,5.5
District of ColumbiaJuly2015,DC,2015,July,12 month-ending,Heroin (T40.1),51,District of Columbia,7/1/2015,6.8
VermontAugust2018,VT,2018,August,12 month-ending,Heroin (T40.1),52,Vermont,8/1/2018,2.5
VermontApril2017,VT,2017,April,12 month-ending,Heroin (T40.1),52,Vermont,4/1/2017,3
VermontJune2017,VT,2017,June,12 month-ending,Heroin (T40.1),52,Vermont,6/1/2017,3
IowaJune2017,IA,2017,June,12 month-ending,Heroin (T40.1),52,Iowa,6/1/2017,3.2
IowaMay2017,IA,2017,May,12 month-ending,Heroin (T40.1),52,Iowa,5/1/2017,3.2
IowaJanuary2017,IA,2017,January,12 month-ending,Heroin (T40.1),52,Iowa,1/1/2017,3.4
MaineNovember2016,ME,2016,November,12 month-ending,Heroin (T40.1),52,Maine,11/1/2016,3.6
MaineMay2016,ME,2016,May,12 month-ending,Heroin (T40.1),52,Maine,5/1/2016,3.8
OklahomaOctober2016,OK,2016,October,12 month-ending,Heroin (T40.1),52,Oklahoma,10/1/2016,4.8
District of ColumbiaApril2015,DC,2015,April,12 month-ending,Heroin (T40.1),52,District of Columbia,4/1/2015,7.1
IowaJuly2018,IA,2018,July,12 month-ending,Heroin (T40.1),53,Iowa,7/1/2018,2.5
IowaMay2018,IA,2018,May,12 month-ending,Heroin (T40.1),53,Iowa,5/1/2018,2.6
VermontJuly2017,VT,2017,July,12 month-ending,Heroin (T40.1),53,Vermont,7/1/2017,2.9
VermontMarch2017,VT,2017,March,12 month-ending,Heroin (T40.1),53,Vermont,3/1/2017,3.1
IowaMarch2017,IA,2017,March,12 month-ending,Heroin (T40.1),53,Iowa,3/1/2017,3.3
MaineDecember2015,ME,2015,December,12 month-ending,Heroin (T40.1),53,Maine,12/1/2015,4
District of ColumbiaAugust2015,DC,2015,August,12 month-ending,Heroin (T40.1),53,District of Columbia,8/1/2015,6.7
District of ColumbiaJune2015,DC,2015,June,12 month-ending,Heroin (T40.1),53,District of Columbia,6/1/2015,6.9
District of ColumbiaMay2015,DC,2015,May,12 month-ending,Heroin (T40.1),53,District of Columbia,5/1/2015,7
IowaApril2018,IA,2018,April,12 month-ending,Heroin (T40.1),54,Iowa,4/1/2018,2.7
MaineDecember2016,ME,2016,December,12 month-ending,Heroin (T40.1),54,Maine,12/1/2016,3.6
MaineJune2016,ME,2016,June,12 month-ending,Heroin (T40.1),54,Maine,6/1/2016,3.8
IowaSeptember2018,IA,2018,September,12 month-ending,Heroin (T40.1),55,Iowa,9/1/2018,2.5
IowaMarch2018,IA,2018,March,12 month-ending,Heroin (T40.1),55,Iowa,3/1/2018,2.7
New HampshireMay2016,NH,2016,May,12 month-ending,Heroin (T40.1),55,New Hampshire,5/1/2016,2.9
OklahomaApril2018,OK,2018,April,12 month-ending,Heroin (T40.1),55,Oklahoma,4/1/2018,3.6
MaineNovember2015,ME,2015,November,12 month-ending,Heroin (T40.1),55,Maine,11/1/2015,4
OklahomaMay2017,OK,2017,May,12 month-ending,Heroin (T40.1),55,Oklahoma,5/1/2017,4.3
IowaJuly2017,IA,2017,July,12 month-ending,Heroin (T40.1),56,Iowa,7/1/2017,3.1
MaineSeptember2016,ME,2016,September,12 month-ending,Heroin (T40.1),56,Maine,9/1/2016,3.7
VermontSeptember2018,VT,2018,September,12 month-ending,Heroin (T40.1),57,Vermont,9/1/2018,2.5
IowaJune2018,IA,2018,June,12 month-ending,Heroin (T40.1),57,Iowa,6/1/2018,2.6
